actor,movie_or_TV_name
Actor: Kentarô Itô,Poketto monsuta: Myuutsu no tanjo
Actor: Kentarô Itô,Welcome to Pia Carrot
Actor: Kentarô Itô,Revolutionary Girl Utena
Actor: Kentarô Itô,Yat! Budget! Space Tours
Actor: Kentarô Itô,Legend of the Galactic Heroes
Actor: Kentarô Itô,Reideen: The Superior
Actor: Kentarô Itô,Martian Successor Nadesico
Actor: Kentarô Itô,Magic User's Club!
Actor: Kentarô Itô,The Vision of Escaflowne
Actor: Masakazu Morita,Tiger & Bunny 2
Actor: Masakazu Morita,Tiger & Bunny
Actor: Masakazu Morita,One Piece
Actor: Masakazu Morita,Kaginado
Actor: Masakazu Morita,World Trigger
Actor: Masakazu Morita,Knights of the Zodiac: Saint Seiya
Actor: Masakazu Morita,Black Clover
Actor: Masakazu Morita,Saint Seiya: Saintia Shô
Actor: Masakazu Morita,Dragon Ball Super: Broly
Actor: Masakazu Morita,Super Dragon Ball Heroes
Actor: Masakazu Morita,Dragon Ball Super
Actor: Masakazu Morita,Rage of Bahamut: Virgin Soul
Actor: Masakazu Morita,Bungou Stray Dogs
Actor: Masakazu Morita,Tiger Mask W
Actor: Masakazu Morita,Yona of the Dawn OVA
Actor: Masakazu Morita,Tosa no ipponzuri
Actor: Masakazu Morita,Rewrite
Actor: Masakazu Morita,Kochira Katsushika-ku Kamearikouen-mae Hashutsujo The Final: Ryotsu Kankichi Saigo no Hi
Actor: Masakazu Morita,Kamen Rider Drive Saga: Kamen Rider Chaser
Actor: Masakazu Morita,Big Order
Actor: Masakazu Morita,Hondana shokudô
Actor: Masakazu Morita,Baby Steps
Actor: Masakazu Morita,Kamen Rider Drive
Actor: Masakazu Morita,Kuroko's Basketball
Actor: Masakazu Morita,"Dragon Ball Z: Resurrection ""F"""
Actor: Masakazu Morita,Ace of Diamond
Actor: Masakazu Morita,Death Parade
Actor: Masakazu Morita,Yona of the Dawn
Actor: Masakazu Morita,Uwabaki kukku
Actor: Masakazu Morita,K: Missing Kings
Actor: Masakazu Morita,Tiger & Bunny: The Rising
Actor: Masakazu Morita,Zyuden Sentai Kyoryuger
Actor: Masakazu Morita,Pokémon
Actor: Masakazu Morita,Short Peace
Actor: Masakazu Morita,Kingdom
Actor: Masakazu Morita,Dragon Ball Z: Battle of Gods
Actor: Masakazu Morita,Gekijo-ban Tiger & Bunny -The Rising
Actor: Masakazu Morita,Combustible
Actor: Masakazu Morita,Bleach
Actor: Masakazu Morita,Gekijouban Sengoku Basara: The Last Party
Actor: Masakazu Morita,Bleach the Movie: Hell Verse
Actor: Masakazu Morita,Eden of the East the Movie I: The King of Eden
Actor: Masakazu Morita,Miracle Train: Oedo-sen E Youkoso
Actor: Masakazu Morita,Higashi no Eden
Actor: Masakazu Morita,Sengoku Basara
Actor: Masakazu Morita,"Bleach: Fade to Black, I Call Your Name"
Actor: Masakazu Morita,Dragon Ball: Hey! Son Goku and Friends Return!!
Actor: Masakazu Morita,Seinto Seiya: Meio Hades Elysion-hen
Actor: Masakazu Morita,Seinto Seiya: Meiô Hâdesu jûnikyû-hen
Actor: Masakazu Morita,Baccano!
Actor: Masakazu Morita,Bleach the Movie 2: The Diamond Dust Rebellion
Actor: Masakazu Morita,Kite Liberator
Actor: Masakazu Morita,Marginal Prince
Actor: Masakazu Morita,Bleach: Memories of Nobody
Actor: Masakazu Morita,Kin iro no koruda: Primo passo
Actor: Masakazu Morita,Mobile Suit Gundam SEED Destiny: TV Movie I - The Shattered World
Actor: Masakazu Morita,Bleach: The Sealed Sword Frenzy
Actor: Masakazu Morita,Seinto Seiya: Meiou Hades Meikai Hen
Actor: Masakazu Morita,Mobile Suit Gundam Seed Destiny
Actor: Masakazu Morita,Sonic X
Actor: Masakazu Morita,Xenosaga: The Animation
Actor: Masakazu Morita,Mejaa
Actor: Masakazu Morita,Beck: Mongolian Chop Squad
Actor: Masakazu Morita,"Jing, King of Bandits: Seventh Heaven"
Actor: Masakazu Morita,Diamond Daydreams
Actor: Masakazu Morita,Yumeria
Actor: Masakazu Morita,Interlude
Actor: Masakazu Morita,Ring ni kakero
Actor: Masakazu Morita,Eien no nagi-bushi Final Fantasy X: Another Story
Actor: Miyu Irino,Heike Monogatari
Actor: Miyu Irino,Platinum End
Actor: Miyu Irino,Kamiarizuki no kodomo
Actor: Miyu Irino,Pokémon Evolutions
Actor: Miyu Irino,Haikyuu!!
Actor: Miyu Irino,Shuta Sueyoshi with Totoko Nya & Matsunoke 6-kyoudai: Max Charm Faces - Kanojo wa saikou!!!!!!!
Actor: Miyu Irino,Osomatsu-san
Actor: Miyu Irino,Ultraman Z & Zero Voice Drama
Actor: Miyu Irino,Chihayafuru
Actor: Miyu Irino,Carole & Tuesday
Actor: Miyu Irino,Boruto: Naruto Next Generations
Actor: Miyu Irino,Mob Psycho 100 II: The First Spirits and Such Company Trip ~A Journey that Mends the Heart and Heals the Soul~
Actor: Miyu Irino,Midnight Occult Civil Servants
Actor: Miyu Irino,Mob Psycho 100
Actor: Miyu Irino,Black Clover
Actor: Miyu Irino,Osomatsusan the Movie
Actor: Miyu Irino,Mob Psycho 100 REIGEN - The Miracle Psychic that Nobody Knows
Actor: Miyu Irino,Run with the Wind
Actor: Miyu Irino,Shinya! Tensai Bakabon
Actor: Miyu Irino,Galaxy Express 999: Galaxy Opera
Actor: Miyu Irino,Amanchu!
Actor: Miyu Irino,Ultraman Geed: Connect the Wishes!
Actor: Miyu Irino,Maquia: When the Promised Flower Blooms
Actor: Miyu Irino,Haikyû!!: Konseputo no tatakai
Actor: Miyu Irino,Haikyû!!: Sainou to sensu
Actor: Miyu Irino,6-tsugo to ouma no monogatari
Actor: Miyu Irino,A Silent Voice: The Movie
Actor: Miyu Irino,Naruto: Shippûden
Actor: Miyu Irino,A Girl and Three Sweethearts
Actor: Miyu Irino,Haikyuu!!: vs Akaten
Actor: Miyu Irino,Code Geass: Akito the Exiled Final - To Beloved Ones
Actor: Miyu Irino,Owari no serafu
Actor: Miyu Irino,Haikyuu!! The Movie 2: The Winner and the Loser
Actor: Miyu Irino,Code Geass: Akito the Exiled 4 - From the Memories of Hatred
Actor: Miyu Irino,Haikyuu!! The Movie 1: The End and the Beginning
Actor: Miyu Irino,Miss Hokusai
Actor: Miyu Irino,Code Geass: Akito the Exiled 3 - The Brightness Falls
Actor: Miyu Irino,Haikyuu!!: Lev Genzan!
Actor: Miyu Irino,Kamigami no asobi
Actor: Miyu Irino,Captain Earth
Actor: Miyu Irino,Lupin III vs. Detective Conan: The Movie
Actor: Miyu Irino,Code Geass: Akito the Exiled 2 - The Torn-Up Wyvern
